pub_date	title	venue	citation	paper_url	code_url
2019-10-01	Improving Sequence-to-Sequence Learning via Optimal Transport.	ICLR	     Liqun Chen, *Yizhe Zhang*, Ruiyi Zhang, Chenyang Tao, Zhe Gan, Haichao Zhang, Bai Li, Dinghan Shen, Changyou Chen, Lawrence Carin	https://openreview.net/forum?id=S1xtAjR5tX	https://github.com/LiqunChen0606/OT-Seq2Seq
2019-10-01	Improving Sequence-to-SequeJointly Optimizing Diversity and Relevance in Neural Response Generation.	NAACL	     Xiang Gao, Sungjin Lee, *Yizhe Zhang*, Chris Brockett, Michel Galley, Jianfeng Gao, Bill Dolan	https://arxiv.org/abs/1902.11205	https://github.com/golsun/SpaceFusion
2019-10-01	Towards Generating Long and Coherent Text with Multi-Level Latent Variable Models.	ACL	     Dinghan Shen, Asli Celikyilmaz, *Yizhe Zhang*, Liqun Chen, Xin Wang, Jianfeng Gao, Lawrence Carin	https://arxiv.org/abs/1902.00154	NONE
2019-10-01	Improving Textual Network Embedding with Global Attention via Optimal Transport.	ACL	     Liqun Chen, Guoyin Wang, Chenyang Tao, Dinghan Shen, *Yizhe Zhang* and Lawrence Carin	https://arxiv.org/abs/1906.01840	NONE
2019-10-01	Microsoft ICECAPS: An Open-Source Toolkit for Conversation Modeling.	system demonstration, ACL	     Vighnesh Leonardo Shiv, Chris Quirk, Anshuman Suri, Xiang Gao, Khuram Shahid, Nithya Govindarajan, *Yizhe Zhang*, Jianfeng Gao, Michel Galley, Chris Brockett, Tulasi Menon, Bill Dolan	https://www.aclweb.org/anthology/P19-3021.pdf	https://github.com/microsoft/icecaps
2019-10-01	Self-Enhanced Inverse Reinforcement Learning for Text Generation.	Imitation, Intent, and Interaction(I3), ICML	     Ping Yu, Ruiyi Zhang, Chunyuan Li, *Yizhe Zhang*, Changyou Chen	https://drive.google.com/drive/folders/1Akd-zSUggWF5NqYPnPvzDa_4oJNPN0kF	NONE
2019-10-01	Unsupervised Dialogue Spectrum Generation for Log Dialogue Ranking.	SIGDIAL(*Best paper nomination*)	     Xinnuo Xu, *Yizhe Zhang*, Lars Liden and Sungjin Lee	https://www.aclweb.org/anthology/W19-5919.pdf	NONE
2019-10-01	Towards coherent and cohesive long-form text generation.	Workshop on Narrative Understanding, NAACL	     Woon Sang Cho, Pengchuan Zhang, *Yizhe Zhang*, Xiujun Li, Michel Galley, Chris Brockett, Mengdi Wang, Jianfeng Gao	https://www.aclweb.org/anthology/W19-2401/	NONE
2019-10-01	Generating a Common Question from Multiple Documents using Multi-source Encoder-Decoder Models.	WNGT, EMNLP	     Woon Sang Cho, *Yizhe Zhang*, Sudha Rao, Chris Brockett and Sungjin Lee	https://www.aclweb.org/anthology/D19-5604/	NONE
2019-10-01	Domain Adaptive Text Style Transfer.	EMNLP	     Dianqi Li, *Yizhe Zhang*, Zhe Gan, Yu Cheng, Chris Brockett, Ming-Ting Sun and Bill Dolan	https://arxiv.org/abs/1908.09395	https://github.com/cookielee77/DAST
